customer_id,city
1,Lyon
2,Marseille
3,Lyon
4,Lyon
5,Marseille
6,Marseille
7,Lille
8,Lyon
9,Paris
10,Toulouse
11,Toulouse
12,Toulouse
13,Lyon
14,Bordeaux
15,Marseille
16,Lille
17,Lille
18,Toulouse
19,Lille
20,Paris
21,Paris
22,Marseille
23,Lille
24,Lyon
25,Lille
26,Lyon
27,Bordeaux
28,Toulouse
29,Lyon
30,Bordeaux
31,Toulouse
32,Paris
33,Lille
34,Bordeaux
35,Marseille
36,Lille
37,Toulouse
38,Lille
39,Marseille
40,Toulouse
41,Toulouse
42,Marseille
43,Lille
44,Marseille
45,Lyon
46,Paris
47,Marseille
48,Toulouse
49,Lyon
50,Paris
51,Marseille
52,Paris
53,Lille
54,Toulouse
55,Marseille
56,Toulouse
57,Lyon
58,Lyon
59,Paris
60,Lyon
61,Bordeaux
62,Lyon
63,Marseille
64,Toulouse
65,Bordeaux
66,Paris
67,Lyon
68,Toulouse
69,Lille
70,Marseille
71,Lyon
72,Lyon
73,Lyon
74,Toulouse
75,Marseille
76,Bordeaux
77,Bordeaux
78,Marseille
79,Toulouse
80,Paris
81,Bordeaux
82,Bordeaux
83,Marseille
84,Toulouse
85,Toulouse
86,Lyon
87,Toulouse
88,Lyon
89,Lille
90,Toulouse
91,Marseille
92,Lyon
93,Lille
94,Paris
95,Paris
96,Paris
97,Lyon
98,Toulouse
99,Lyon
100,Paris
101,Toulouse
102,Lille
103,Paris
104,Marseille
105,Toulouse
106,Lyon
107,Lyon
108,Marseille
109,Bordeaux
110,Lyon
111,Marseille
112,Paris
113,Paris
114,Lyon
115,Toulouse
116,Bordeaux
117,Lyon
118,Paris
119,Toulouse
120,Marseille
121,Paris
122,Marseille
123,Bordeaux
124,Bordeaux
125,Lille
126,Toulouse
127,Paris
128,Marseille
129,Marseille
130,Marseille
131,Lyon
132,Lyon
133,Bordeaux
134,Lille
135,Bordeaux
136,Lille
137,Bordeaux
138,Marseille
139,Lyon
140,Bordeaux
141,Toulouse
142,Bordeaux
143,Toulouse
144,Marseille
145,Lyon
146,Bordeaux
147,Toulouse
148,Lyon
149,Lille
150,Marseille
151,Bordeaux
152,Bordeaux
153,Marseille
154,Lyon
155,Lyon
156,Bordeaux
157,Paris
158,Bordeaux
159,Toulouse
160,Lille
161,Toulouse
162,Paris
163,Lyon
164,Toulouse
165,Marseille
166,Toulouse
167,Lyon
168,Bordeaux
169,Toulouse
170,Paris
171,Lille
172,Lyon
173,Marseille
174,Bordeaux
175,Paris
176,Lyon
177,Marseille
178,Marseille
179,Lyon
180,Bordeaux
181,Paris
182,Bordeaux
183,Bordeaux
184,Bordeaux
185,Bordeaux
186,Marseille
187,Lille
188,Paris
189,Marseille
190,Lyon
191,Lyon
192,Bordeaux
193,Paris
194,Marseille
195,Marseille
196,Paris
197,Bordeaux
198,Paris
199,Paris
200,Lille
