product_id,product_name,category,price
1,Product_1,Home,212.81
2,Product_2,Electronics,486.42
3,Product_3,Home,357.27
4,Product_4,Electronics,26.73
5,Product_5,Home,449.16
6,Product_6,Toys,209.46
7,Product_7,Sports,231.94
8,Product_8,Electronics,292.48
9,Product_9,Toys,71.09
10,Product_10,Books,42.04
11,Product_11,Toys,35.83
12,Product_12,Home,122.2
13,Product_13,Sports,426.2
14,Product_14,Books,351.86
15,Product_15,Sports,162.44
16,Product_16,Sports,120.64
17,Product_17,Home,72.38
18,Product_18,Toys,58.94
19,Product_19,Electronics,86.37
20,Product_20,Books,160.45
21,Product_21,Electronics,270.28
22,Product_22,Home,228.7
23,Product_23,Books,136.18
24,Product_24,Electronics,49.76
25,Product_25,Sports,414.06
26,Product_26,Toys,24.96
27,Product_27,Sports,78.42
28,Product_28,Home,484.36
29,Product_29,Books,259.16
30,Product_30,Sports,133.78
31,Product_31,Home,20.39
32,Product_32,Books,428.03
33,Product_33,Toys,375.3
34,Product_34,Home,51.89
35,Product_35,Electronics,402.93
36,Product_36,Home,65.12
37,Product_37,Electronics,416.03
38,Product_38,Home,69.7
39,Product_39,Books,189.26
40,Product_40,Electronics,293.25
41,Product_41,Sports,459.13
42,Product_42,Electronics,15.79
43,Product_43,Electronics,102.89
44,Product_44,Books,405.6
45,Product_45,Electronics,453.01
46,Product_46,Sports,65.65
47,Product_47,Books,30.07
48,Product_48,Toys,219.41
49,Product_49,Books,250.58
50,Product_50,Books,343.19
